,img,name,price,emi,kms_driven,fuel_type,actual_pr
0,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/HW2DAM3_9d4b625aa8ee4287bb3a4c60f9ce5902_1_26591387.jpg?q=75,2017 Hyundai Creta SX Plus 1.6 AT CRDI,"₹11,50,000",,"66,602 KMs",Diesel,
1,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/M40756D_5045c9a62d2a47d68b36163bc013c739_1_26774317.jpeg?q=75,2017 Honda City V Petrol [2017-2019],"₹6,45,000","EMI starts at ₹10,711","64,000 KMs",Petrol,
2,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/G3CYRAC_773d5043b6094eb480df357ac5fe3594_1_26632669.jpg?q=75,2015 Nissan Terrano XL (D),"₹5,75,000","EMI starts at ₹9,548","85,000 KMs",Diesel,
3,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/QP1BYF8_81f54c04f41248ba8d7347371a05e600_1_26774652.jpeg?q=75,2011 Maruti Suzuki Wagon R 1.0 LXi CNG,"₹2,80,000",,"54,000 KMs",CNG,
4,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/X0WHDQV_8ab2e9eed3d7465bbefe02a04457edee_1_27032572.jpeg?q=75,2014 Maruti Suzuki Estilo VXi BS-IV,"₹2,60,000",,"58,000 KMs",Petrol,
5,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/JI5RQEU_555c23a285f74037a1bd95f6d185e394_1_26919277.jpeg?q=75,2021 Honda City VX,"₹12,10,000",,"16,989 KMs",Petrol,
6,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DUBFLSC_566ca8a8128c42128cb637c82a9aac65_1_26859458.jpeg?q=75,2021 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"₹6,11,000","EMI starts at ₹10,146","28,514 KMs",CNG,
7,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/WE499CR_856bb46b4b07487fb2bff740bed39159_1_25981368.jpg?q=75,2017 Hyundai Grand i10 Era 1.2 Kappa VTVT,"₹4,40,000","EMI starts at ₹7,306","23,000 KMs",Petrol,
8,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/B1LA8OH_3ea0dd85b4eb444293898229da810b46_1_26484776.jpg?q=75,2017 Tata Tiago Revotron XZA [2017-2019],"₹4,75,000","EMI starts at ₹7,888","34,867 KMs",Petrol,
9,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/L94INJG_84ebd25cbcd542e6af67580a320d4936_1_26667624.jpg?q=75,2017 Honda City V CVT Petrol [2017-2019],"₹8,45,000","EMI starts at ₹14,032","49,013 KMs",Petrol,₹ 8.65 Lakh
